Date;Billingham;Middlesbrough;Newcastle Centre;Redcar;Stockton-on-Tees Yarm;Sunderland;Sunderland Silksworth
01/12/2005;No data;23;11;28;No data;No data;19
02/12/2005;No data;38;29;38;No data;No data;39
03/12/2005;No data;38;26;No data;No data;No data;41
04/12/2005;No data;33;24;33;No data;No data;34
05/12/2005;No data;8;11;7;No data;No data;5
06/12/2005;No data;16;26;37;No data;No data;27
07/12/2005;No data;10;7;12;No data;No data;10
08/12/2005;No data;10;4;13;No data;No data;6
09/12/2005;No data;3;2;12;No data;No data;8
10/12/2005;No data;18;22;14;No data;No data;26
11/12/2005;No data;35;48;29;No data;No data;49
12/12/2005;No data;22;26;39;No data;No data;27
13/12/2005;No data;17;34;18;No data;No data;42
14/12/2005;No data;18;29;27;No data;No data;34
15/12/2005;No data;43;57;39;No data;No data;62
16/12/2005;No data;45;56;No data;No data;No data;61
17/12/2005;No data;33;37;42;No data;No data;43
18/12/2005;No data;24;25;19;No data;No data;35
19/12/2005;No data;19;29;No data;No data;No data;42
20/12/2005;No data;21;23;No data;No data;No data;36
21/12/2005;No data;29;44;No data;No data;No data;52
22/12/2005;No data;35;25;No data;No data;No data;41
23/12/2005;No data;44;57;No data;No data;No data;62
24/12/2005;No data;15;36;No data;No data;No data;42
25/12/2005;No data;30;38;No data;No data;No data;31
26/12/2005;No data;44;56;No data;No data;No data;56
27/12/2005;No data;37;42;No data;No data;No data;52
28/12/2005;No data;11;15;No data;No data;No data;27
29/12/2005;No data;12;12;No data;No data;No data;14
30/12/2005;No data;15;5;No data;No data;No data;14
31/12/2005;No data;42;22;No data;No data;No data;50
